"species","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Muhlenbergia polycaulis Scribn.","61","7.820533","0.451669","0.05783","0.004986"
"Salvia connivens Epling","8","8.184564","0.407302","0.144003","0.038018"
"Oenothera tetraptera Cav.","59","8.246636","0.622613","0.081057","0.005155"
"Polemonium grandiflorum Benth.","14","8.463924","0.561365","0.150031","0.021724"
"Achimenes grandiflora (Schiede) A.DC.","64","8.892049","0.466301","0.058288","0.004752"
"Salvia involucrata Cav.","14","8.371376","0.659913","0.176369","0.021724"
"Fuchsia fulgens Moc. & Sessé ex DC.","14","8.813038","0.16022","0.042821","0.021724"
"Bouchetia erecta DC.","6","8.041133","0.373274","0.152388","0.05069"
"Enteropogon chlorideus (J.Presl) Clayton","32","8.277423","0.550809","0.09737","0.009504"
"Croton chichenensis Lundell","17","8.652611","0.349802","0.084839","0.017891"
"Salvia sessei Benth.","22","8.438533","0.383649","0.081794","0.013825"
"Salvia henryi A.Gray","25","7.270837","0.345337","0.069067","0.012166"
"Solanum citrullifolium A.Br.","51","7.78285","0.688937","0.09647","0.005964"
"Physalis acutifolia (Miers) Sandwith","62","7.297417","0.750827","0.095355","0.004906"
"Chasmanthium sessiliflorum (Poir.) Yates","73","9.025701","0.192644","0.022547","0.004166"
"Chasmanthium laxum (L.) H.O.Yates","85","9.055705","0.152085","0.016496","0.003578"
"Bromus marginatus Nees ex Steud.","137","8.224511","0.767211","0.065547","0.00222"
"Salvia pubescens Benth.","9","8.414338","0.273277","0.091092","0.033794"
"Salvia lavanduloides Kunth","67","8.707513","0.49107","0.059994","0.004539"
"Salvia agnes Epling","8","8.684422","0.302243","0.106859","0.038018"
"Ipomopsis macombii (Torr.) V.E.Grant","21","7.731232","0.3363","0.073387","0.014483"
"Echinochloa muricata (P.Beauv.) Fernald","310","8.713142","0.597132","0.033915","0.000981"
"Festuca tolucensis Kunth","14","8.888311","0.63713","0.17028","0.021724"
"Lepidium thurberi Wooton","32","7.381784","0.335287","0.059271","0.009504"
"Pennisetum purpureum Schumach.","347","9.043246","0.639927","0.034353","0.000876"
"Zeugites americanus Willd.","36","9.07269","0.515122","0.085854","0.008448"
"Salvia lyrata L.","81","9.024399","0.152923","0.016991","0.003755"
"Bakeridesia gloriosa D.M.Bates","7","8.962225","0.390098","0.147443","0.043449"
"Panicum rigidulum Bosc ex Nees","133","8.955369","0.311379","0.027","0.002287"
"Salvia cedrosensis Greene","5","6.190142","0.112298","0.050221","0.060828"
"Kohleria spicata (Kunth) Oerst.","97","9.537194","0.516594","0.052452","0.003135"
"Physalis caudella Standl.","18","8.093375","0.400237","0.094337","0.016897"
"Datura discolor Bernh.","111","7.562948","1.030457","0.097807","0.00274"
"Salvia thymoides Benth.","4","8.239379","0.311467","0.155733","0.076035"
"Salvia languidula Epling","13","8.796131","0.26538","0.073603","0.023396"
"Arracacia aegopodioides (Kunth) J.M.Coult. & Rose","30","8.739168","0.633457","0.115653","0.010138"
"Bothriochloa springfieldii (Gould) Parodi","89","7.613587","0.474545","0.050302","0.003417"
"Corchorus siliquosus L.","139","8.961073","0.468714","0.039756","0.002188"
"Lopezia laciniata (Rose) M.E.Jones","7","8.606248","0.563898","0.213133","0.043449"
"Festuca arizonica Vasey","59","7.961236","0.435828","0.05674","0.005155"
"Setaria magna Griseb.","47","8.697069","0.700914","0.102239","0.006471"
"Salvia mellifera Greene","25","7.651229","0.557432","0.111486","0.012166"
"Heliocarpus appendiculatus Turcz.","53","9.288143","0.449963","0.061807","0.005739"
"Oplismenus compositus (L.) P.Beauv.","313","9.220707","0.549268","0.031046","0.000972"
"Salvia langlassei Fernald","10","8.865571","0.195098","0.061695","0.030414"
"Lupinus elegans Kunth","39","8.725789","0.395106","0.063268","0.007799"
"Salvia alamosana Rose","13","8.434159","0.355866","0.098699","0.023396"
"Oryza latifolia Desv.","161","9.256736","0.525532","0.041418","0.001889"
"Phlox pattersonii Prather","3","7.736601","0.113764","0.065682","0.101381"
"Festuca subverticillata (Pers.) E.B.Alexeev","243","9.026595","0.228687","0.01467","0.001252"
"Steinchisma hians Raf.","1","8.695674",NA,NA,"0.304142"
"Sporobolus giganteus Nash","69","7.364877","0.404617","0.04871","0.004408"
"Lycurus setosus (Nutt.) C.Reeder","109","7.582224","0.403851","0.038682","0.00279"
"Croton suaveolens Torr.","23","7.624302","0.32714","0.068213","0.013224"
"Spermacoce verticillata L.","264","9.106656","0.468474","0.028833","0.001152"
"Trichoneura elegans Swallen","10","8.069737","0.357408","0.113022","0.030414"
"Muhlenbergia schreberi J.F.Gmel.","233","8.913958","0.346849","0.022723","0.001305"
"Leersia virginica Willd.","267","9.003603","0.225757","0.013816","0.001139"
"Lycium pallidum Miers","77","7.214192","0.54959","0.062632","0.00395"
"Salvia whitehousei Alziar","5","7.334425","0.201452","0.090092","0.060828"
"Festuca amplissima Rupr. ex Galeotti","9","8.614791","0.42902","0.143007","0.033794"
"Eucodonia verticillata (M.Martens & Galeotti) Wiehler","10","8.837141","0.343062","0.108486","0.030414"
"Dayia scabra (Brandegee) J.M.Porter","2","6.206592","0.297183","0.21014","0.152071"
"Scleropogon brevifolius Phil.","105","7.399635","0.40658","0.039678","0.002897"
"Muhlenbergia reverchonii Vasey & Scribn.","16","8.247784","0.443502","0.110876","0.019009"
"Croton cupulifer McVaugh","2","8.69795","0.190406","0.134637","0.152071"
"Croton ehrenbergii Schltdl.","7","8.114297","0.587639","0.222107","0.043449"
"Poa arida Vasey","144","8.10323","0.457638","0.038136","0.002112"
"Epifagus virginiana (L.) Barton","176","9.200545","0.209385","0.015783","0.001728"
"Paspalum humboldtianum Flüggé","131","8.654995","0.628477","0.05491","0.002322"
"Salvia sharpii Epling & Mathias","5","8.36775","0.595509","0.26632","0.060828"
"Muhlenbergia minutissima (Steud.) Swallen","126","7.949772","0.513046","0.045706","0.002414"
"Salvia tricuspidata M.Martens & Galeotti","3","9.01087","0.463459","0.267578","0.101381"
"Oenothera hartwegii Benth.","38","7.562799","0.297211","0.048214","0.008004"
"Croton coryi Croizat","2","8.048113","0.051983","0.036758","0.152071"
"Solanum lanceolatum Cav.","95","8.725003","0.639226","0.065583","0.003201"
"Brachyelytrum erectum (Schreb.) P.Beauv.","191","9.141073","0.255635","0.018497","0.001592"
"Cenchrus myosuroides Kunth","124","8.168866","0.893034","0.080197","0.002453"
"Solanum morelliforme Bitter & Münch","17","8.884232","0.345584","0.083816","0.017891"
"Cymopterus macrorhizus Buckley","24","8.050357","0.357636","0.073002","0.012673"
"Muhlenbergia pubescens (Kunth) Hitchc.","42","8.121348","0.370965","0.057241","0.007241"
"Muhlenbergia sinuosa Swallen","33","7.847831","0.341822","0.059504","0.009216"
"Trisetum viride (Kunth) Kunth","22","8.335712","0.43997","0.093802","0.013825"
"Luehea speciosa Willd.","129","9.201455","0.441186","0.038844","0.002358"
"Gilia stellata A.Heller","48","6.670647","0.537852","0.077632","0.006336"
"Lycium carolinianum Walter","47","8.552176","0.557012","0.081249","0.006471"
"Houstonia teretifolia Terrell","1","7.16472",NA,NA,"0.304142"
"Salvia cacaliifolia Benth.","14","8.798773","0.407184","0.108825","0.021724"
"Croton brevipes Pax","9","9.800712","0.431201","0.143734","0.033794"
"Solanum candidum Lindl.","79","9.038305","0.546645","0.061502","0.00385"
"Oenothera pubescens Willd. ex Spreng.","93","8.241502","0.590607","0.061243","0.00327"
"Oenothera suffulta (Engelm.) W.L.Wagner & Hoch","16","8.255739","0.383246","0.095812","0.019009"
"Croton lindheimeri (Engelm. & A.Gray) Alph.Wood","50","8.906173","0.405013","0.057277","0.006083"
"Cestrum endlicheri Miers","4","8.968669","1.020429","0.510215","0.076035"
"Bouteloua disticha (Kunth) Benth.","33","8.57951","0.739993","0.128816","0.009216"
"Croton bonplandianus Baill.","85","8.39952","0.582882","0.063222","0.003578"
"Sida cuspidata (A.Robyns) Krapov.","23","8.939654","0.403228","0.084079","0.013224"
"Abutilon malacum S.Watson","70","7.426185","0.448196","0.05357","0.004345"
"Bromus richardsonii Link","124","8.40218","0.509074","0.045716","0.002453"
"Bromus mucroglumis Wagnon","11","8.129797","0.214483","0.064669","0.027649"
"Orcuttia californica Vasey","13","7.46271","0.538473","0.149346","0.023396"
"Agrostis exarata Trin.","353","8.633878","1.019865","0.054282","0.000862"
"Salvia fruticulosa Benth.","6","8.393804","0.311733","0.127264","0.05069"
"Lupinus arizonicus (S.Watson) S.Watson","57","6.659884","0.717471","0.095031","0.005336"
"Panicum amarum Elliott","32","8.928675","0.216243","0.038227","0.009504"
"Physalis coztomatl Moc. & Sessé ex Dunal","20","8.689525","0.450759","0.100793","0.015207"
"Muhlenbergia ciliata (Kunth) Kunth","27","8.692688","0.418786","0.080595","0.011265"
"Paspalum denticulatum Trin.","110","8.674126","0.409035","0.039","0.002765"
"Leptochloa panicea (Retz.) Ohwi","88","8.782568","0.895932","0.095507","0.003456"
"Oenothera lavandulifolia Torr. & A.Gray","64","7.669945","0.284486","0.035561","0.004752"
"Stipa tenuissima Trin.","42","7.719942","0.580369","0.089553","0.007241"
"Croton palanostigma Klotzsch","87","9.785805","0.339237","0.03637","0.003496"
"Aristida eludens Allred & Valdés-Reyna","9","7.679679","0.52359","0.17453","0.033794"
"Phalaris angusta Nees ex Trin.","127","8.751205","0.647994","0.0575","0.002395"
"Lepidium alyssoides A.Gray","55","7.48112","0.423159","0.057059","0.00553"
"Salvia candicans M.Martens & Galeotti","6","8.193913","0.726194","0.296467","0.05069"
"Fuchsia microphylla Kunth","40","8.951311","0.595625","0.094177","0.007604"
"Neogoezia planipetala (Hemsl.) Hemsl.","14","8.622441","0.186234","0.049773","0.021724"
"Echinochloa walteri (Pursh) A.Heller","125","8.991018","0.22772","0.020368","0.002433"
"Salvia longistyla Benth.","15","8.744186","0.261686","0.067567","0.020276"
"Cestrum laxum Benth.","25","8.703227","0.571429","0.114286","0.012166"
"Panicum acuminatum Sw.","86","8.828318","0.678534","0.073168","0.003537"
"Paspalum paniculatum L.","271","9.188577","0.483","0.02934","0.001122"
"Panicum laxum Sw.","229","9.176823","0.504583","0.033344","0.001328"
"Salvia sapinea Epling","9","8.884111","0.430671","0.143557","0.033794"
"Horsfordia exalata Fryxell","1","7.731492",NA,NA,"0.304142"
"Solanum rudepannum Dunal","126","9.200384","0.579823","0.051655","0.002414"
"Salvia columbariae Benth.","81","7.163631","0.766732","0.085192","0.003755"
"Cicuta maculata L.","439","8.762755","0.577091","0.027543","0.000693"
"Bryantiella palmeri (S.Watson) J.M.Porter","5","6.254922","0.512806","0.229334","0.060828"
"Eremalche exilis (A.Gray) Greene","46","6.647375","0.501764","0.073981","0.006612"
"Heliocarpus pallidus Rose","28","8.625568","0.259979","0.049131","0.010862"
"Fuchsia cylindracea Lindl.","17","8.668623","0.350888","0.085103","0.017891"
"Leersia hexandra Sw.","658","8.949695","0.539699","0.02104","0.000462"
"Muhlenbergia diversiglumis Trin.","49","8.882834","0.508933","0.072705","0.006207"
"Chloris submutica Kunth","59","8.14319","0.463963","0.060403","0.005155"
"Muhlenbergia alamosae Vasey","38","8.231373","0.509785","0.082698","0.008004"
"Physalis greenmanii Waterf.","12","9.045115","0.58176","0.16794","0.025345"
"Pereilema crinitum J.Presl","64","8.688187","0.567352","0.070919","0.004752"
"Lycianthes acapulcensis (Baill.) D' Arcy","22","8.733503","0.316979","0.06758","0.013825"
"Datura quercifolia Kunth","59","7.763737","0.429245","0.055883","0.005155"
"Cryptotaenia canadensis (L.) DC.","257","9.031009","0.224602","0.01401","0.001183"
"Paspalum wrightii Hitchc. & Chase","45","8.907938","0.261891","0.03904","0.006759"
"Oenothera macrosceles A.Gray","10","7.45905","0.339256","0.107282","0.030414"
"Paspalum unispicatum (Scribn. & Merr.) Nash","67","8.526605","0.457871","0.055938","0.004539"
"Uniola pittieri Hack.","23","8.971148","0.650487","0.135636","0.013224"
"Croton magdalenae Millsp.","18","7.080723","0.426448","0.100515","0.016897"
"Phelipanche ramosa (L.) Pomel","36","8.516958","0.425048","0.070841","0.008448"
"Panicum verrucosum Muhl.","90","9.078104","0.170927","0.018017","0.003379"
"Salvia albocaerulea Linden","10","8.828243","0.220611","0.069763","0.030414"
"Physalis longifolia Nutt.","115","8.01559","0.595354","0.055517","0.002645"
"Lycianthes moziniana (Dunal) Bitter","28","8.638501","0.367256","0.069405","0.010862"
"Oldenlandia ovata S.Watson","7","8.273592","0.472143","0.178453","0.043449"
"Salvia xalapensis Benth.","13","8.890122","0.633396","0.175672","0.023396"
"Solanum aphyodendron S.Knapp","119","9.212443","0.518221","0.047505","0.002556"
"Salvia quercetorum Epling","3","8.994845","0.523547","0.30227","0.101381"
"Rhynchoglossum azureum (Schltdl.) B.L.Burtt","25","9.596747","0.491027","0.098205","0.012166"
"Linanthus dianthiflorus (Benth.) Greene","19","7.340856","0.729871","0.167444","0.016007"
"Glyceria septentrionalis Hitchc.","121","9.081195","0.177803","0.016164","0.002514"
"Brachiaria plantaginea (Link) Hitchc.","95","8.83803","0.545361","0.055953","0.003201"
"Oenothera deltoides Torr. & Frém.","51","6.536666","0.617648","0.086488","0.005964"
"Solanum bulbocastanum Dunal","33","8.561453","0.432135","0.075225","0.009216"
"Solanum aligerum Schltdl.","73","8.810932","0.642025","0.075143","0.004166"
"Panicum gymnocarpon Elliott","28","8.981087","0.249274","0.047108","0.010862"
"Salvia amarissima Ortega","33","8.509528","0.490657","0.085412","0.009216"
"Salvia nepetoides Kunth","12","8.806459","0.216225","0.062419","0.025345"
"Salvia pusilla Fernald","6","8.647634","0.3406","0.139049","0.05069"
"Cymopterus acaulis Raf.","69","7.596716","0.400087","0.048165","0.004408"
"Croton axillaris Müll.Arg.","11","8.784589","0.260402","0.078514","0.027649"
"Hauya elegans Moc. & Sessé ex DC.","29","8.747706","0.58105","0.107898","0.010488"
"Heliocarpus americanus L.","180","9.33566","0.485672","0.0362","0.00169"
"Croton wigginsii L.C.Wheeler","16","6.366447","0.539723","0.134931","0.019009"
"Solanum schlechtendalianum Walp.","253","9.494213","0.474863","0.029854","0.001202"
"Salvia pinguifolia (Fernald) Wooton & Standl.","20","7.535358","0.301167","0.067343","0.015207"
"Eriastrum sapphirinum (Eastw.) Mason","19","7.297107","0.460911","0.10574","0.016007"
"Malacothamnus fasciculatus (Nutt. ex Torr. & A.Gray) Greene","23","7.598506","0.609319","0.127052","0.013224"
"Solanum grayi Rose","35","8.2021","0.463479","0.078342","0.00869"
"Solanum hindsianum Benth.","42","6.949748","0.813046","0.125456","0.007241"
"Physalis patula Mill.","28","8.203659","0.419542","0.079286","0.010862"
"Muhlenbergia robusta (E.Fourn.) Hitchc.","74","8.566774","0.539275","0.062689","0.00411"
"Ludwigia grandiflora (Michx.) Greuter & Burdet","71","8.932841","0.497148","0.059001","0.004284"
"Muhlenbergia speciosa Vasey","22","8.384325","0.408807","0.087158","0.013825"
"Microchloa kunthii Desv.","263","8.460208","0.646046","0.039837","0.001156"
"Luehea seemannii Planch. & Triana","90","9.559926","0.427323","0.045044","0.003379"
"Aletes acaulis (Torr.) J.M.Coult. & Rose","20","7.818457","0.364034","0.0814","0.015207"
"Croton pottsii var. pottsii","49","7.441243","0.294213","0.04203","0.006207"
"Croton pottsii var. thermophilus (M.C.Johnst.) M.C.Johnst.","2","6.981856","0.04661","0.032958","0.152071"
"Croton peraeruginosus Croizat","13","8.650011","0.188551","0.052295","0.023396"
"Physalis pruinosa L.","58","8.498525","0.544566","0.071505","0.005244"
"Chusquea circinata Soderstr. & C.E.Calderón","13","8.775439","0.305217","0.084652","0.023396"
"Bouteloua media (E.Fourn.) Gould & Kapadia","48","8.518258","0.537358","0.077561","0.006336"
"Oenothera biennis L.","381","8.995358","0.456557","0.02339","0.000798"
"Croton cajucara Benth.","42","9.53793","0.220206","0.033979","0.007241"
"Bothriochloa laguroides (DC.) Herter","73","8.610115","0.626587","0.073336","0.004166"
"Hottonia inflata Elliott","30","9.076292","0.113589","0.020738","0.010138"
"Muhlenbergia macroura (Kunth) Hitchc.","51","8.496319","0.540881","0.075738","0.005964"
"Phlox nivalis Lodd.","7","9.066717","0.114712","0.043357","0.043449"
"Croton fantzianus F.Seym.","8","8.405853","0.38173","0.134962","0.038018"
"Briquetia sonorae Fryxell","3","7.291325","0.101701","0.058717","0.101381"
"Lycianthes lenta (Cav.) Bitter","89","8.915563","0.424217","0.044967","0.003417"
"Achimenes antirrhina (DC.) C.V.Morton","37","8.827085","0.361291","0.059396","0.00822"
"Setariopsis auriculata (E.Fourn.) Scribn.","66","8.269035","0.542889","0.066825","0.004608"
"Salvia purpusii Brandegee","4","7.5242","0.3105","0.15525","0.076035"
"Drymonia strigosa (Oerst.) Wiehler","14","9.509693","0.315037","0.084197","0.021724"
"Ligusticum porteri J.M.Coult. & Rose","58","8.1504","0.384356","0.050468","0.005244"
"Physalis nicandroides Schltdl.","62","8.374239","0.568999","0.072263","0.004906"
"Lysimachia radicans Hook.","27","9.103077","0.095824","0.018441","0.011265"
"Bromus ciliatus L.","519","8.88218","0.611299","0.026833","0.000586"
"Muhlenbergia arizonica Scribn.","33","7.719696","0.367864","0.064037","0.009216"
"Muhlenbergia elongata Scribn. ex Beal","16","7.97379","0.362585","0.090646","0.019009"
"Lupinus sparsiflorus Benth.","63","6.879735","0.630353","0.079417","0.004828"
"Bouteloua johnstonii Swallen","5","7.395592","0.353073","0.157899","0.060828"
"Nicotiana clevelandii A.Gray","43","6.948609","0.707011","0.107818","0.007073"
"Solanum hjertingii Hawkes","7","7.751565","0.342319","0.129384","0.043449"
"Loeselia glandulosa (Cav.) G.Don","95","8.620181","0.60471","0.062042","0.003201"
"Phlox drummondii Hook.","49","8.804436","0.355312","0.050759","0.006207"
"Muhlenbergia montana (Nutt.) Hitchc.","138","8.092909","0.459445","0.039111","0.002204"
"Achimenes erecta (Lam.) H.P.Fuchs","35","9.049224","0.582312","0.098429","0.00869"
"Phlox longifolia Nutt.","132","7.758223","0.508511","0.04426","0.002304"
"Stenaria nigricans (Lam.) Terrell","28","8.456488","0.591695","0.11182","0.010862"
"Stenaria nigricans var. nigricans","44","8.354538","0.627314","0.094571","0.006912"
"Solanum heterodoxum Dunal","54","7.737116","0.521926","0.071025","0.005632"
"Sium suave Walter","481","8.809704","0.626957","0.028587","0.000632"
